date,region,district,candidate,party,voteshare,candidatevotes,totalvotes

11/5/2022,AL,1,Democrat,DEM,0,null,FALSE
11/5/2022,AL,2,Democrat,DEM,0,null,FALSE
11/5/2022,AL,3,Democrat,DEM,0,null,FALSE
11/5/2022,AL,4,Democrat,DEM,0,null,FALSE
11/5/2022,AL,5,Democrat,DEM,0,null,FALSE
11/5/2022,AL,6,Democrat,DEM,0,null,FALSE
11/5/2022,AL,7,Democrat,DEM,0,null,FALSE
11/5/2022,AK,0,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,1,Republican,REP,0,null,TRUE
11/5/2022,AZ,2,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,3,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,4,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,5,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,6,Republican,REP,0,null,FALSE
11/5/2022,AZ,7,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,8,Democrat,DEM,0,null,FALSE
11/5/2022,AZ,9,Democrat,DEM,0,null,FALSE
11/5/2022,AR,1,Democrat,DEM,0,null,FALSE
11/5/2022,AR,2,Democrat,DEM,0,null,FALSE
11/5/2022,AR,3,Democrat,DEM,0,null,FALSE
11/5/2022,AR,4,Democrat,DEM,0,null,FALSE
11/5/2022,CA,1,Democrat,DEM,0,null,FALSE
11/5/2022,CA,2,Democrat,DEM,0,null,FALSE
11/5/2022,CA,3,Republican,REP,49.51,null,TRUE
11/5/2022,CA,4,Republican,REP,0,null,FALSE
11/5/2022,CA,5,Democrat,DEM,0,null,FALSE
11/5/2022,CA,6,Democrat,DEM,0,null,FALSE
11/5/2022,CA,7,Democrat,DEM,0,null,FALSE
11/5/2022,CA,8,Democrat,DEM,0,null,FALSE
11/5/2022,CA,9,Democrat,DEM,0,null,FALSE
11/5/2022,CA,10,Democrat,DEM,0,null,FALSE
11/5/2022,CA,11,Democrat,DEM,0,null,FALSE
11/5/2022,CA,12,Democrat,DEM,0,null,FALSE
11/5/2022,CA,13,Republican,REP,0,null,FALSE
11/5/2022,CA,14,Democrat,DEM,0,null,FALSE
11/5/2022,CA,0,Democrat,DEM,0,null,FALSE
11/5/2022,CA,16,Democrat,DEM,0,null,FALSE
11/5/2022,CA,17,Democrat,DEM,0,null,FALSE
11/5/2022,CA,18,Democrat,DEM,0,null,FALSE
11/5/2022,CA,19,Democrat,DEM,0,null,FALSE
11/5/2022,CA,20,Democrat,DEM,0,null,FALSE
11/5/2022,CA,21,Democrat,DEM,0,null,FALSE
11/5/2022,CA,22,Republican,REP,0,null,FALSE
11/5/2022,CA,23,Democrat,DEM,0,null,FALSE
11/5/2022,CA,24,Democrat,DEM,0,null,FALSE
11/5/2022,CA,25,Democrat,DEM,0,null,FALSE
11/5/2022,CA,26,Democrat,DEM,0,null,FALSE
11/5/2022,CA,27,Republican,REP,0,null,TRUE
11/5/2022,CA,28,Democrat,DEM,0,null,FALSE
11/5/2022,CA,29,Democrat,DEM,0,null,FALSE
11/5/2022,CA,30,Democrat,DEM,0,null,FALSE
11/5/2022,CA,31,Democrat,DEM,0,null,FALSE
11/5/2022,CA,32,Democrat,DEM,0,null,FALSE
11/5/2022,CA,33,Democrat,DEM,0,null,FALSE
11/5/2022,CA,34,Democrat,DEM,0,null,FALSE
11/5/2022,CA,35,Democrat,DEM,0,null,FALSE
11/5/2022,CA,36,Democrat,DEM,0,null,FALSE
11/5/2022,CA,37,Democrat,DEM,0,null,FALSE
11/5/2022,CA,38,Democrat,DEM,0,null,FALSE
11/5/2022,CA,39,Democrat,DEM,0,null,FALSE
11/5/2022,CA,40,Republican,REP,0,null,FALSE
11/5/2022,CA,41,Republican,REP,0,null,TRUE
11/5/2022,CA,42,Democrat,DEM,0,null,FALSE
11/5/2022,CA,43,Democrat,DEM,0,null,FALSE
11/5/2022,CA,44,Democrat,DEM,0,null,FALSE
11/5/2022,CA,45,Republican,REP,0,null,FALSE
11/5/2022,CA,46,Democrat,DEM,0,null,FALSE
11/5/2022,CA,47,Democrat,DEM,0,null,FALSE
11/5/2022,CA,48,Democrat,DEM,0,null,FALSE
11/5/2022,CA,49,Democrat,DEM,0,null,FALSE
11/5/2022,CA,50,Democrat,DEM,0,null,FALSE
11/5/2022,CA,51,Democrat,DEM,0,null,FALSE
11/5/2022,CA,52,Democrat,DEM,0,null,FALSE
11/5/2022,CO,1,Democrat,DEM,0,null,FALSE
11/5/2022,CO,2,Democrat,DEM,0,null,FALSE
11/5/2022,CO,3,Democrat,DEM,49.51,null,FALSE
11/5/2022,CO,4,Democrat,DEM,0,null,FALSE
11/5/2022,CO,5,Democrat,DEM,0,null,FALSE
11/5/2022,CO,6,Democrat,DEM,0,null,FALSE
11/5/2022,CO,7,Democrat,DEM,0,null,FALSE
11/5/2022,CO,8,Republican,REP,0,null,FALSE
11/5/2022,CT,1,Democrat,DEM,0,null,FALSE
11/5/2022,CT,2,Democrat,DEM,0,null,FALSE
11/5/2022,CT,3,Democrat,DEM,0,null,FALSE
11/5/2022,CT,4,Democrat,DEM,0,null,FALSE
11/5/2022,CT,5,Democrat,DEM,0,null,FALSE
11/5/2022,CT,5,Democrat,DEM,0,null,FALSE
11/5/2022,DE,0,Democrat,DEM,0,null,FALSE
11/5/2022,FL,1,Democrat,DEM,0,null,FALSE
